anio,mes,fecha_descarga,distrito_fiscal,ubicacion_especialidad,cargo,condicion,sexo,total,ubigeo_pjfs,dpto_pjfs,prov_pjfs,dist_pjfs,fecha_corte
2023,12,12/01/2024,AMAZONAS,AUTORIDAD NACIONAL DE CONTROL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,AUTORIDAD NACIONAL DE CONTROL,FISCAL ADJUNTO SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,AUTORIDAD NACIONAL DE CONTROL,FISCAL SUPERIOR,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CORRUPCION DE FUNCIONARIOS,FISCAL PROVINCIAL,TITULAR,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CRIMEN ORGANIZADO,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CRIMEN ORGANIZADO,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,CRIMEN ORGANIZADO,FISCAL PROVINCIAL,TITULAR,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,DERECHOS HUMANOS E INTERCULTURALIDAD,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,DERECHOS HUMANOS E INTERCULTURALIDAD,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,DERECHOS HUMANOS E INTERCULTURALIDAD,FISCAL PROVINCIAL,PROVISIONAL (Titular Promovido),MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,FAMILIA,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,MASCULINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,FEMENINO,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,FAMILIA,FISCAL ADJUNTO PROVINCIAL,TITULAR,MASCULINO,3,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,FAMILIA,FISCAL PROVINCIAL,PROVISIONAL,MASCULINO,2,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,FAMILIA,FISCAL PROVINCIAL,TITULAR,FEMENINO,1,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,FAMILIA,FISCAL PROVINCIAL,TITULAR,MASCULINO,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
2023,12,12/01/2024,AMAZONAS,MATERIA AMBIENTAL,FISCAL ADJUNTO PROVINCIAL,PROVISIONAL,FEMENINO,4,010101,AMAZONAS,CHACHAPOYAS,CHACHAPOYAS,31/10/2025
